pos	X
58.5	1.36425e-12
58.505	1.59162e-12
58.51	1.819e-12
58.515	1.36425e-12
58.52	1.36425e-12
58.525	1.13688e-12
58.53	1.13688e-12
58.535	1.13688e-12
58.54	1.13688e-12
58.545	1.36425e-12
58.55	1.819e-12
58.555	1.36425e-12
58.56	1.36425e-12
58.565	1.36425e-12
58.57	1.59162e-12
58.575	1.59162e-12
58.58	1.59162e-12
58.585	1.59162e-12
58.59	1.59162e-12
58.595	1.59162e-12
58.6	1.36425e-12
58.605	1.59162e-12
58.61	1.36425e-12
58.615	1.36425e-12
58.62	1.36425e-12
58.625	1.59162e-12
58.63	1.59162e-12
58.635	1.36425e-12
58.64	1.59162e-12
58.645	1.819e-12
58.65	1.819e-12
58.655	1.59162e-12
58.66	1.59162e-12
58.665	1.59162e-12
58.67	1.59162e-12
58.675	1.59162e-12
58.68	1.13688e-12
58.685	1.36425e-12
58.69	1.36425e-12
58.695	1.36425e-12
58.7	1.36425e-12
58.705	1.59162e-12
58.71	1.59162e-12
58.715	1.819e-12
58.72	1.819e-12
58.725	2.27375e-12
58.73	1.819e-12
58.735	1.59162e-12
58.74	1.59162e-12
58.745	1.36425e-12
58.75	1.36425e-12
58.755	1.36425e-12
58.76	1.36425e-12
58.765	1.59162e-12
58.77	1.59162e-12
58.775	1.59162e-12
58.78	1.36425e-12
58.785	1.13688e-12
58.79	1.13688e-12
58.795	1.13688e-12
58.8	1.36425e-12
58.805	1.819e-12
58.81	1.36425e-12
58.815	1.59162e-12
58.82	1.59162e-12
58.825	1.59162e-12
58.83	1.36425e-12
58.835	1.59162e-12
58.84	1.59162e-12
58.845	1.59162e-12
58.85	1.13688e-12
58.855	1.13688e-12
58.86	1.59162e-12
58.865	1.36425e-12
58.87	1.36425e-12
58.875	1.13688e-12
58.88	1.13688e-12
58.885	1.13688e-12
58.89	1.13688e-12
58.895	9.09502e-13
58.9	1.13688e-12
58.905	1.13688e-12
58.91	1.13688e-12
58.915	1.13688e-12
58.92	1.13688e-12
58.925	1.13688e-12
58.93	1.13688e-12
58.935	9.09502e-13
58.94	1.13688e-12
58.945	9.09502e-13
58.95	1.13688e-12
58.955	1.59162e-12
58.96	1.36425e-12
58.965	1.13688e-12
58.97	1.13688e-12
58.975	1.13688e-12
58.98	1.13688e-12
58.985	1.36425e-12
58.99	1.59162e-12
58.995	9.09502e-13
59.0	6.82124e-13
59.005	9.09502e-13
59.01	1.13688e-12
59.015	1.36425e-12
59.02	1.13688e-12
59.025	9.09502e-13
59.03	1.13688e-12
59.035	1.13688e-12
59.04	1.36425e-12
59.045	1.36425e-12
59.05	1.13688e-12
59.055	1.13688e-12
59.06	9.09502e-13
59.065	9.09502e-13
59.07	1.13688e-12
59.075	9.09502e-13
59.08	1.13688e-12
59.085	1.13688e-12
59.09	1.13688e-12
59.095	1.13688e-12
59.1	6.82124e-13
59.105	9.09502e-13
59.11	1.13688e-12
59.115	1.36425e-12
59.12	6.82124e-13
59.125	9.09502e-13
59.13	6.82124e-13
59.135	6.82124e-13
59.14	4.54751e-13
59.145	9.09502e-13
59.15	6.82124e-13
59.155	4.54751e-13
59.16	9.09502e-13
59.165	9.09502e-13
59.17	6.82124e-13
59.175	9.09502e-13
59.18	1.13688e-12
59.185	1.13688e-12
59.19	1.13688e-12
59.195	9.09502e-13
59.2	9.09502e-13
59.205	1.13688e-12
59.21	1.13688e-12
59.215	9.09502e-13
59.22	9.09502e-13
59.225	1.13688e-12
59.23	1.13688e-12
59.235	1.13688e-12
59.24	4.54751e-13
59.245	1.13688e-12
59.25	1.13688e-12
59.255	9.09502e-13
59.26	9.09502e-13
59.265	9.09502e-13
59.27	1.13688e-12
59.275	1.13688e-12
59.28	1.13688e-12
59.285	9.09502e-13
59.29	9.09502e-13
59.295	6.82124e-13
59.3	6.82124e-13
59.305	6.82124e-13
59.31	6.82124e-13
59.315	9.09502e-13
59.32	9.09502e-13
59.325	1.59162e-12
59.33	1.59162e-12
59.335	1.36425e-12
59.34	1.13688e-12
59.345	1.13688e-12
59.35	1.36425e-12
59.355	1.13688e-12
59.36	1.13688e-12
59.365	1.13688e-12
59.37	1.59162e-12
59.375	1.36425e-12
59.38	1.13688e-12
59.385	1.13688e-12
59.39	1.13688e-12
59.395	1.13688e-12
59.4	1.59162e-12
59.405	1.819e-12
59.41	1.59162e-12
59.415	1.13688e-12
59.42	1.13688e-12
59.425	1.36425e-12
59.43	1.36425e-12
59.435	1.819e-12
59.44	1.36425e-12
59.445	1.36425e-12
59.45	1.36425e-12
59.455	1.59162e-12
59.46	1.13688e-12
59.465	1.819e-12
59.47	1.59162e-12
59.475	1.819e-12
59.48	1.59162e-12
59.485	1.59162e-12
59.49	1.36425e-12
59.495	1.36425e-12
59.5	1.819e-12
59.505	1.819e-12
59.51	1.59162e-12
59.515	1.59162e-12
59.52	1.819e-12
59.525	1.819e-12
59.53	1.59162e-12
59.535	1.59162e-12
59.54	1.13688e-12
59.545	1.819e-12
59.55	1.819e-12
59.555	1.819e-12
59.56	2.27375e-12
59.565	1.819e-12
59.57	1.36425e-12
59.575	1.819e-12
59.58	1.819e-12
59.585	1.59162e-12
59.59	1.36425e-12
59.595	1.59162e-12
59.6	1.819e-12
59.605	1.59162e-12
59.61	1.13688e-12
59.615	1.13688e-12
59.62	1.819e-12
59.625	1.819e-12
59.63	1.819e-12
59.635	2.04638e-12
59.64	2.04638e-12
59.645	1.819e-12
59.65	1.819e-12
59.655	1.819e-12
59.66	2.04638e-12
59.665	2.04638e-12
59.67	2.27375e-12
59.675	2.27375e-12
59.68	2.04638e-12
59.685	2.04638e-12
59.69	1.819e-12
59.695	2.04638e-12
59.7	1.819e-12
59.705	1.819e-12
59.71	2.04638e-12
59.715	1.819e-12
59.72	2.04638e-12
59.725	2.04638e-12
59.73	1.819e-12
59.735	2.04638e-12
59.74	1.819e-12
59.745	2.04638e-12
59.75	2.04638e-12
59.755	1.819e-12
59.76	1.819e-12
59.765	1.819e-12
59.77	1.819e-12
59.775	2.04638e-12
59.78	2.04638e-12
59.785	1.819e-12
59.79	1.819e-12
59.795	1.819e-12
59.8	2.04638e-12
59.805	2.27375e-12
59.81	2.27375e-12
59.815	2.27375e-12
59.82	1.819e-12
59.825	2.27375e-12
59.83	2.50112e-12
59.835	2.27375e-12
59.84	2.27375e-12
59.845	1.59162e-12
59.85	1.819e-12
59.855	2.27375e-12
59.86	2.27375e-12
59.865	2.27375e-12
59.87	2.04638e-12
59.875	1.819e-12
59.88	1.819e-12
59.885	2.04638e-12
59.89	1.819e-12
59.895	1.819e-12
59.9	1.819e-12
59.905	2.04638e-12
59.91	1.819e-12
59.915	2.04638e-12
59.92	2.27375e-12
59.925	2.27375e-12
59.93	1.819e-12
59.935	1.59162e-12
59.94	1.59162e-12
59.945	1.819e-12
59.95	2.27375e-12
59.955	2.27375e-12
59.96	2.27375e-12
59.965	1.819e-12
59.97	2.27375e-12
59.975	2.27375e-12
59.98	2.27375e-12
59.985	2.27375e-12
59.99	2.27375e-12
59.995	2.27375e-12
60.0	2.27375e-12
60.005	2.27375e-12
60.01	2.27375e-12
60.015	2.27375e-12
60.02	2.27375e-12
60.025	2.50112e-12
60.03	2.50112e-12
60.035	2.27375e-12
60.04	2.27375e-12
60.045	1.819e-12
60.05	1.59162e-12
60.055	1.819e-12
60.06	1.13688e-12
60.065	1.13688e-12
60.07	1.13688e-12
60.075	0.0
60.08	-4.54751e-13
60.085	-9.09502e-13
60.09	-1.13688e-12
60.095	-1.36425e-12
60.1	-2.27375e-12
60.105	-3.18325e-12
60.11	-3.86538e-12
60.115	-4.5475e-12
60.12	-5.68437e-12
60.125	-6.36649e-12
60.13	-6.82124e-12
60.135	-7.50339e-12
60.14	-8.18551e-12
60.145	-8.86763e-12
60.15	-9.32238e-12
60.155	-1.04592e-11
60.16	-1.11414e-11
60.165	-1.13687e-11
